PlaneIssueYear_aggregated,PlaneIssueYear_mean_enc
1957,6.0932642487046635
1987,10.901045481787309
1956,21.16304347826087
1972,4.425
None,9.15558928765044
1988,11.142941122439607
1977,12.540960451977401
1971,12.770685579196217
1984,11.987511251125113
1982,8.689039408866995
2005,8.924166207276736
2000,8.086351390623404
1965,15.134831460674157
1962,14.867052023121387
,16.326999768142823
1978,11.293960923623446
1974,15.770212765957448
2002,10.81087178431423
1959,15.40188383045526
1995,10.189869272814287
1964,14.98060941828255
2006,8.69343088037223
1976,14.290544584081388
1968,12.045088386663684
1967,11.543341708542714
2004,9.829559719613323
1989,10.219815970283328
1992,10.773480431226142
1966,9.62295081967213
2008,9.443398957730167
1999,10.071658664606904
1963,13.110588235294118
1994,11.035491843796342
1997,12.371253405994551
1973,11.767857142857142
2007,7.274162166888923
1996,9.822488399697853
1983,10.596621867054123
1969,13.682747771368643
1980,15.549319727891156
1986,12.000087675716749
1985,10.45184622397812
1979,15.19769397069421
1998,9.644141255818372
0000,5.998432601880878
1993,10.328561577713419
2001,8.448758357840875
1990,10.465815920290947
1991,10.914072033064357
2003,11.169068269643624
1975,12.581646423751687
1970,10.410144927536232
